StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q10,Q1,Q4,Q2,Q13,Q3,Q5,Q6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,Participant ID,What is your age?,What is your gender?,What is your academic status?,What is your major?,What is your race/ethnicity?,How often do you play video games?,What kind of video games do you usually play?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID2""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}"
2016-10-07 09:15:22,2016-10-07 10:02:13,IP Address,*******,100,2810,True,2016-10-07 10:02:13,R_r8fpf27Q1VTWUQp,*******,*******,*******,*******,*******,*******,anonymous,PN001,18,Female,Freshman,Accounting,Black/African American,Less than once a month,First-Person Shooter
2016-10-12 06:20:59,2016-10-12 07:03:23,IP Address,*******,100,2544,True,2016-10-12 07:03:23,R_1mOvvQfcwlpdS1c,*******,*******,*******,*******,*******,*******,anonymous,PN002,18,Male,Freshman,Engineering - Undeclared,White,2-3 times a week,Real-time Strategy
2016-10-14 06:31:15,2016-10-14 06:58:56,IP Address,*******,100,1661,True,2016-10-14 06:58:57,R_27fFI11wPb9iiYU,*******,*******,*******,*******,*******,*******,anonymous,PN003,18,Female,Freshman,Exploratory Studies,Asian/Pacific Islander,Never,I do not play video games
2016-10-14 07:33:20,2016-10-14 09:03:03,IP Address,*******,100,5382,True,2016-10-14 09:03:03,R_e2lOvyPOC5ShIVr,*******,*******,*******,*******,*******,*******,anonymous,PN004,21,Male,Junior,Biology,White,2-3 times a month,First-Person Shooter
2016-10-14 09:03:13,2016-10-14 09:03:58,IP Address,*******,100,44,True,2016-10-14 09:03:58,R_2A0DyezhaePtwgt,*******,*******,*******,*******,*******,*******,anonymous,PN005,19,Female,Sophomore,Political Science and Spanish,White,Once a month,First-Person Shooter
2016-10-14 09:47:21,2016-10-14 10:02:31,IP Address,*******,100,909,True,2016-10-14 10:02:31,R_1gGBf4QKLLYvlHY,*******,*******,*******,*******,*******,*******,anonymous,PN006,18,Male,Freshman,Computer Science,White,Once a month,Role-playing Game
2016-10-17 06:30:57,2016-10-17 08:04:35,IP Address,*******,100,5617,True,2016-10-17 08:04:35,R_Aze6ceb4zC6Ks3T,*******,*******,*******,*******,*******,*******,anonymous,PN007,18,Male,Freshman,"exploratory studies ",White,Once a month,First-Person Shooter
2016-10-18 07:37:17,2016-10-18 07:48:42,IP Address,*******,100,684,True,2016-10-18 07:48:42,R_6PxJ0uy6uKAituF,*******,*******,*******,*******,*******,*******,anonymous,PN008,18,Male,Freshman,Chemistry,White,2-3 times a week,Real-time Strategy
